Driver,Stint,Compound,LapNumber_min,LapNumber_max,LapNumber_count,LapTime_mean,LapTime_min,LapTime_max,StintLength,LapTimeDegradation
ALB,1.0,MEDIUM,1.0,1.0,2,145.855,145.855,145.855,1.0,0.0
ALB,2.0,MEDIUM,2.0,13.0,24,101.39825,98.82,110.904,12.0,12.084000000000003
ALB,3.0,SOFT,14.0,26.0,26,104.35169230769232,99.185,148.318,13.0,49.13300000000001
ALO,1.0,SOFT,1.0,11.0,22,102.25809090909091,98.82,129.194,11.0,30.373999999999995
ALO,2.0,HARD,12.0,25.0,28,102.6125,98.126,118.522,14.0,20.396
ALO,3.0,HARD,26.0,53.0,56,98.90332142857143,97.203,116.635,28.0,19.432000000000002
BOT,1.0,SOFT,1.0,1.0,2,174.634,174.634,174.634,1.0,0.0
BOT,2.0,SOFT,2.0,6.0,10,113.57239999999999,98.82,140.615,5.0,41.795000000000016
BOT,3.0,HARD,7.0,7.0,2,98.82,98.82,98.82,1.0,0.0
GAS,1.0,MEDIUM,1.0,18.0,36,103.55138888888888,98.82,142.428,18.0,43.608000000000004
GAS,2.0,HARD,19.0,34.0,32,100.1913125,97.279,119.628,16.0,22.349000000000004
GAS,3.0,HARD,35.0,53.0,38,99.01884210526316,96.371,118.774,19.0,22.403000000000006
HAM,1.0,MEDIUM,1.0,16.0,32,102.806,98.786,131.543,16.0,32.757000000000005
HAM,2.0,HARD,17.0,34.0,36,99.688,97.489,119.054,18.0,21.564999999999998
HAM,3.0,HARD,35.0,53.0,38,98.29573684210526,95.611,115.716,19.0,20.10499999999999
HUL,1.0,SOFT,1.0,8.0,16,105.181375,98.82,141.615,8.0,42.795000000000016
HUL,2.0,MEDIUM,9.0,21.0,26,103.17223076923077,98.724,119.085,13.0,20.36099999999999
HUL,3.0,HARD,22.0,37.0,32,100.2614375,98.322,120.084,16.0,21.762
HUL,4.0,MEDIUM,38.0,52.0,30,99.19033333333333,97.25,118.934,15.0,21.683999999999997
LAW,1.0,SOFT,1.0,10.0,20,103.49929999999999,98.82,136.7,10.0,37.879999999999995
LAW,2.0,MEDIUM,11.0,25.0,30,103.0108,99.212,118.568,15.0,19.355999999999995
LAW,3.0,HARD,26.0,52.0,54,99.42818518518519,98.267,118.827,27.0,20.560000000000002
LEC,1.0,MEDIUM,1.0,17.0,34,102.10976470588236,98.805,126.863,17.0,28.057999999999993
LEC,2.0,MEDIUM,18.0,34.0,34,99.69317647058823,97.88,117.256,17.0,19.376000000000005
LEC,3.0,HARD,35.0,53.0,38,98.29726315789473,96.362,115.831,19.0,19.46900000000001
MAG,1.0,MEDIUM,1.0,12.0,24,105.58316666666667,98.82,143.466,12.0,44.646000000000015
MAG,2.0,HARD,13.0,31.0,38,101.89963157894738,98.373,138.051,19.0,39.67799999999998
MAG,3.0,HARD,32.0,52.0,42,99.62671428571429,97.842,118.476,21.0,20.634
NOR,1.0,MEDIUM,1.0,17.0,34,101.80588235294118,97.66,123.597,17.0,25.936999999999998
NOR,2.0,HARD,18.0,36.0,38,99.07547368421052,96.689,118.123,19.0,21.43400000000001
NOR,3.0,HARD,37.0,53.0,34,97.53594117647059,95.247,116.781,17.0,21.534000000000006
OCO,1.0,MEDIUM,1.0,1.0,2,161.813,161.813,161.813,1.0,0.0
OCO,2.0,HARD,2.0,28.0,54,102.72844444444445,98.82,144.519,27.0,45.69900000000001
OCO,3.0,HARD,29.0,53.0,50,98.92532,97.398,117.871,25.0,20.473
PER,1.0,MEDIUM,1.0,2.0,4,114.822,98.82,130.824,2.0,32.00400000000002
PER,2.0,HARD,3.0,12.0,20,102.1373,98.82,121.045,10.0,22.22500000000001
PER,3.0,SOFT,13.0,13.0,2,98.82,98.82,98.82,1.0,0.0
PER,4.0,SOFT,14.0,14.0,2,98.82,98.82,98.82,1.0,0.0
PER,5.0,SOFT,15.0,15.0,2,132.535,132.535,132.535,1.0,0.0
PIA,1.0,MEDIUM,1.0,13.0,26,101.1836923076923,98.676,124.94,13.0,26.263999999999996
PIA,2.0,HARD,14.0,35.0,44,100.32359090909091,98.117,133.847,22.0,35.730000000000004
PIA,3.0,HARD,36.0,53.0,36,98.15822222222222,96.328,117.096,18.0,20.768
RUS,1.0,MEDIUM,1.0,24.0,48,101.789,98.768,134.167,24.0,35.399
RUS,2.0,HARD,25.0,53.0,58,99.11396551724137,97.653,118.114,29.0,20.461
SAI,1.0,MEDIUM,1.0,18.0,36,102.07094444444445,98.82,127.963,18.0,29.143
SAI,2.0,MEDIUM,19.0,38.0,40,99.5593,97.753,117.366,20.0,19.613
SAI,3.0,HARD,39.0,53.0,30,98.44800000000001,96.187,116.164,15.0,19.977000000000004
SAR,1.0,MEDIUM,1.0,2.0,4,121.822,98.82,144.824,2.0,46.00400000000002
SAR,2.0,MEDIUM,3.0,5.0,6,100.867,98.82,104.961,3.0,6.141000000000005
SAR,3.0,MEDIUM,6.0,21.0,32,104.5071875,98.848,139.442,16.0,40.59400000000001
SAR,4.0,HARD,22.0,22.0,2,137.039,137.039,137.039,1.0,0.0
STR,1.0,SOFT,1.0,14.0,28,104.212,98.82,139.493,14.0,40.673
STR,2.0,MEDIUM,15.0,20.0,12,103.20333333333333,99.05,118.13,6.0,19.08
TSU,1.0,SOFT,1.0,9.0,18,104.16733333333333,98.82,138.243,9.0,39.423
TSU,2.0,MEDIUM,10.0,30.0,42,102.12619047619049,98.737,117.38,21.0,18.643
TSU,3.0,HARD,31.0,52.0,44,99.29545454545455,97.768,118.908,22.0,21.14
VER,1.0,MEDIUM,1.0,16.0,32,101.1940625,96.748,120.179,16.0,23.430999999999997
VER,2.0,MEDIUM,17.0,37.0,42,98.77161904761905,97.344,118.025,21.0,20.68100000000001
VER,3.0,HARD,38.0,53.0,32,97.2599375,94.183,116.078,16.0,21.894999999999996
ZHO,1.0,SOFT,1.0,1.0,2,150.466,150.466,150.466,1.0,0.0
ZHO,2.0,SOFT,2.0,10.0,18,100.40988888888889,98.82,103.013,9.0,4.193000000000012
ZHO,3.0,SOFT,11.0,29.0,38,102.19763157894738,99.106,118.22,19.0,19.114000000000004
ZHO,4.0,HARD,30.0,52.0,46,99.22578260869567,97.791,118.128,23.0,20.337000000000003
